Frame,Visibility,X,Y,Hit
316,0,0,0,0
317,0,0,0,0
318,0,0,0,0
319,0,0,0,0
320,1,1383,332,0
321,0,0,0,0
322,0,0,0,0
323,0,0,0,0
324,0,0,0,0
325,0,0,0,0
326,0,0,0,0
327,1,268,910,1
328,0,0,0,0
329,1,1192,412,0
330,1,1636,705,0
331,1,1642,714,1
332,0,0,0,0
333,0,0,0,0
334,0,0,0,0
335,1,1201,414,0
336,0,0,0,0
337,0,0,0,0
338,1,1231,850,1
339,0,0,0,0
340,0,0,0,0
341,1,1481,671,0
342,0,0,0,0
343,0,0,0,0
344,1,1312,764,1
345,0,0,0,0
346,0,0,0,0
347,1,941,197,0
348,0,0,0,0
349,0,0,0,0
350,0,0,0,0
351,0,0,0,0
352,0,0,0,0
353,0,0,0,0
354,0,0,0,0
355,0,0,0,0
356,0,0,0,0
357,0,0,0,0
358,0,0,0,0
359,0,0,0,0
360,0,0,0,0
361,0,0,0,0
362,0,0,0,0
363,0,0,0,0
364,0,0,0,0
365,0,0,0,0
366,1,783,7,0
367,1,768,7,0
368,0,0,0,0
369,1,793,5,0
370,1,793,3,0
371,0,0,0,0
372,1,759,7,0
373,1,787,5,0
374,0,0,0,0
375,1,759,7,0
376,1,787,3,0
377,0,0,0,0
378,1,793,5,0
379,1,766,7,0
380,0,0,0,0
381,1,759,7,0
382,1,766,7,0
383,0,0,0,0
384,1,759,7,0
385,1,766,7,0
386,0,0,0,0
387,1,759,7,0
388,1,763,5,0
389,0,0,0,0
390,1,759,7,0
391,1,766,7,0
392,0,0,0,0
393,1,793,5,0
394,1,765,7,0
395,0,0,0,0
396,1,802,7,0
397,1,946,5,0
398,0,0,0,0
399,1,802,7,0
400,1,946,5,0
401,0,0,0,0
402,1,802,7,0
403,1,946,5,0
404,0,0,0,0
405,1,802,7,0
406,1,946,5,0
407,0,0,0,0
408,1,802,7,0
409,1,946,5,0
410,0,0,0,0
411,1,802,7,0
412,1,946,5,0
413,0,0,0,0
414,1,1696,1012,1
415,0,0,0,0
416,0,0,0,0
417,0,0,0,0
418,0,0,0,0
419,0,0,0,0
420,0,0,0,0
421,0,0,0,0
422,0,0,0,0
423,0,0,0,0
424,0,0,0,0
425,0,0,0,0
426,0,0,0,0
427,0,0,0,0
428,0,0,0,0
429,0,0,0,0
430,0,0,0,0
431,1,819,335,0
432,0,0,0,0
433,0,0,0,0
434,1,1755,1005,0
435,0,0,0,0
436,0,0,0,0
437,0,0,0,0
438,0,0,0,0
439,0,0,0,0
440,0,0,0,0
441,0,0,0,0
442,0,0,0,0
443,0,0,0,0
444,0,0,0,0
445,0,0,0,0
446,0,0,0,0
447,0,0,0,0
448,0,0,0,0
449,0,0,0,0
450,0,0,0,0
451,0,0,0,0
452,0,0,0,0
453,0,0,0,0
454,0,0,0,0
455,0,0,0,0
